Falsevin,RA_GENDER,RA_MARITALSTATUS,RA_VEH_USE,RA_EXPOSURE_TIME,RA_DISTANCE_DRIVEN,RA_NBTRIP,RA_HOURS_DRIVEN,RA_ACCIDENT_IND
1,2,1,2,0.8630136986,2747.5,494,4940,0
1,2,1,2,0.4849315068,3781.9,656,7216,0
6,2,1,1,0.3287671233,7536.9,445,8010,0
6,2,1,1,0.9643835616,16716.6,1254,17556,0
6,2,1,1,1.002739726,22962,1669,26704,0
7,2,0,1,0.5726027397,11387.4,1519,16709,0
7,2,0,1,0.9123287671,19622.7,2278,29614,0
8,1,0,2,0.495890411,1136.5,362,2534,0
8,1,0,2,0.501369863,925.9,392,2352,0
8,1,0,2,0.501369863,1234.6,392,2744,0
8,1,0,2,0.4712328767,894.3,344,2064,0
10,1,0,2,0.501369863,7064.3,339,6102,0
10,1,0,2,0.501369863,4077,235,4230,0
10,1,0,2,0.3095890411,2789,194,3104,0
10,3,0,2,0.4931506849,7217.6,513,8208,0
12,1,0,1,0.9780821918,9489.4,1119,13428,0
12,2,0,1,0.3205479452,4956.3,351,5967,0
13,1,0,2,0.5479452055,2206.2,627,4389,0
13,1,0,2,0.495890411,1768,594,4158,0
13,1,0,2,0.504109589,2717.7,630,5040,0
13,1,0,2,0.3287671233,1209.4,308,2156,0
14,2,0,1,0.7397260274,27336.7,1770,30090,0
14,2,0,1,0.3287671233,15277,907,15419,0
17,1,0,2,0.9534246575,16140.2,2727,27270,0
17,1,0,2,0.997260274,14722.3,2438,24380,0
18,1,1,2,0.9698630137,4710.6,1009,11099,0
18,1,1,2,0.6630136986,3982.6,931,8379,0
20,2,1,1,0.3287671233,3502.4,342,5472,0
20,2,1,1,1.002739726,11122,1095,17520,0
20,2,1,1,0.9945205479,10940.5,1035,16560,0
22,2,0,2,0.504109589,3001.3,577,5193,0
22,2,0,2,0.504109589,3894.8,656,6560,0
22,2,0,2,0.498630137,3059.1,545,5450,0
22,2,0,2,0.504109589,3107.6,551,5510,0
22,2,0,2,0.495890411,2879.9,516,5160,0
23,2,1,1,0.3287671233,5942.5,1026,13338,0
23,2,1,1,1,13532.6,2601,31212,0
23,2,1,1,1.002739726,17935.4,3025,42350,0
24,2,0,2,0.9150684932,7889.8,905,9050,0
24,2,0,2,0.8383561644,14012.3,1265,13915,0
26,2,1,1,1.0246575342,16362.7,960,18240,0
26,2,1,1,0.4931506849,4753.5,283,5094,0
29,2,1,1,0.3287671233,3303.5,360,5400,0
29,2,1,1,0.7863013699,5703.6,1023,13299,0
30,2,0,1,0.498630137,7305.3,1115,15610,0
30,2,0,1,0.3150684932,2601.5,148,3700,0
31,2,1,2,0.5698630137,4683.4,534,7476,0
31,2,1,2,0.3287671233,3076.1,342,4788,0
32,2,1,1,1.002739726,7143.1,1825,21900,0
32,2,1,1,0.4438356164,4625,762,7620,0
32,2,1,1,0.3287671233,2079.6,530,10070,0
34,1,0,2,1.002739726,7275,1408,11264,0
34,1,1,1,0.7808219178,6138.8,1178,9424,0
